InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply,City,State
INT0001,process engineering intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",12Th Pass,Online,6 Months,English,0/month,"autocad, matlab, tableau","beginner friendly, government scheme aligned",Beginner,08-10-25,Hyderabad,unknown
INT0002,process engineering intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Ug,Online,4 Months,"English, Hindi",10000/month,"zoom, figma, git","rural outreach, field work",Beginner,11-12-25,Chandigarh,unknown
INT0003,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback. This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Diploma,Hybrid,3 Months,"English, Hindi",0/month,"matlab, docker, tableau","beginner friendly, paid internship",Beginner,15-12-25,Jaipur,unknown
INT0004,process engineering intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Learn important skills and build a small project while working with the team. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Renewable Energy,"process simulation, autocad, ms office, data analysis",Ug,Online,1 Month,"English, Tamil",8000/month,"zoom, docker, autocad","field work, beginner friendly",Beginner,23-11-25,Sivaganga,Tamil Nadu
INT0005,process engineering intern,"Learn important skills and build a small project while working with the team. This Process Engineering Intern at Tata Power provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Diploma,Hybrid,6 Months,"English, Hindi",10000/month,"slack, autocad, jira","remote friendly, beginner friendly",Intermediate,20-12-25,Patna,unknown
INT0006,process engineering intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Diploma,Online,3 Months,"English, Hindi",3000/month,"slack, matlab, tableau","government scheme aligned, field work",Beginner,27-02-26,Guwahati,unknown
INT0007,field operations intern,This Field Operations Intern at ONGC provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Ug,Online,6 Months,"English, Odia",3000/month,"figma, autocad, trello","beginner friendly, paid internship",Beginner,28-01-26,Nabarangpur,Odisha
INT0008,process engineering intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Ug,Offline,1 Month,"English, Marathi",5000/month,"trello, vs code, docker","remote friendly, field work",Intermediate,07-12-25,Gadchiroli,Maharashtra
INT0009,field operations intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Field Operations Intern at Tata Power provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",Ug,Online,5 Months,"English, Hindi",10000/month,"git, power bi, jira","women preferred, remote friendly",Beginner,01-01-26,Pune,unknown
INT0010,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. Learn important skills and build a small project while working with the team. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Ug,Hybrid,2 Months,"English, Manipuri",3000/month,"autocad, docker, tableau","rural outreach, women preferred",Beginner,05-03-26,Ukhrul,Manipur
INT0011,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Renewable Energy Analyst Intern at Tata Power provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Diploma,Hybrid,3 Months,"English, Tamil",8000/month,"tableau, docker, jupyter","paid internship, beginner friendly",Beginner,06-10-25,Sivaganga,Tamil Nadu
INT0012,process engineering intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",12Th Pass,Offline,1 Month,English,10000/month,"slack, zoom, autocad","women preferred, beginner friendly",Beginner,24-02-26,Mumbai,unknown
INT0013,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",12Th Pass,Offline,4 Months,"English, Hindi",15000/month,"git, autocad, figma","beginner friendly, remote friendly",Beginner,26-12-25,Lucknow,unknown
INT0014,process engineering intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",12Th Pass,Online,1 Month,"English, Hindi",8000/month,"figma, tableau, jupyter","remote friendly, field work",Advanced,04-10-25,Chennai,unknown
INT0015,field operations intern,"You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Diploma,Online,4 Months,English,0/month,"trello, zoom, docker","government scheme aligned, paid internship",Intermediate,20-02-26,Lucknow,unknown
INT0016,renewable energy analyst intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Ug,Online,1 Month,"English, Hindi",10000/month,"docker, tableau, figma","rural outreach, remote friendly",Advanced,21-10-25,Mumbai,unknown
INT0017,process engineering intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Ug,Hybrid,2 Months,"English, Marathi",10000/month,"power bi, git, postman","beginner friendly, paid internship",Intermediate,22-02-26,Nanded,Maharashtra
INT0018,field operations intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required. This Field Operations Intern at Reliance Industries provides hands-on learning and mentorship.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Diploma,Offline,3 Months,"English, Hindi",0/month,"git, docker, power bi","beginner friendly, remote friendly",Beginner,07-02-26,Bengaluru,unknown
INT0019,field operations intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Hybrid,3 Months,"English, Hindi",10000/month,"figma, autocad, tableau","remote friendly, field work",Intermediate,16-12-25,Dantewada,Chhattisgarh
INT0020,renewable energy analyst intern,Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Power Systems,"energy modelling, excel, power systems, matlab",Ug,Hybrid,3 Months,English,3000/month,"autocad, postman, zoom","women preferred, rural outreach",Advanced,14-10-25,Hyderabad,unknown
INT0021,renewable energy analyst intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Diploma,Online,6 Months,"English, Hindi",8000/month,"tableau, matlab, trello","remote friendly, women preferred",Beginner,08-11-25,Bengaluru,unknown
