InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Location,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply
INT0001,Process Engineering Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",12th Pass,Hyderabad,Online,6 Months,English,0/month,"AutoCAD, MATLAB, Tableau","Beginner Friendly, Government Scheme Aligned",Beginner,08-10-25
INT0002,Process Engineering Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Chandigarh,Online,4 Months,"English, Hindi",10000/month,"Zoom, Figma, Git","Rural Outreach, Field Work",Beginner,11-12-25
INT0003,Renewable Energy Analyst Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback. This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,Jaipur,Hybrid,3 Months,"English, Hindi",0/month,"MATLAB, Docker, Tableau","Beginner Friendly, Paid Internship",Beginner,15-12-25
INT0004,Process Engineering Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Learn important skills and build a small project while working with the team. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Renewable Energy,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,"Sivaganga, Tamil Nadu",Online,1 Month,"English, Tamil",8000/month,"Zoom, Docker, AutoCAD","Field Work, Beginner Friendly",Beginner,23-11-25
INT0005,Process Engineering Intern,"Learn important skills and build a small project while working with the team. This Process Engineering Intern at Tata Power provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",Diploma,Patna,Hybrid,6 Months,"English, Hindi",10000/month,"Slack, AutoCAD, JIRA","Remote Friendly, Beginner Friendly",Intermediate,20-12-25
INT0006,Process Engineering Intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",Diploma,Guwahati,Online,3 Months,"English, Hindi",3000/month,"Slack, MATLAB, Tableau","Government Scheme Aligned, Field Work",Beginner,27-02-26
INT0007,Field Operations Intern,This Field Operations Intern at ONGC provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,"Nabarangpur, Odisha",Online,6 Months,"English, Odia",3000/month,"Figma, AutoCAD, Trello","Beginner Friendly, Paid Internship",Beginner,28-01-26
INT0008,Process Engineering Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,"Gadchiroli, Maharashtra",Offline,1 Month,"English, Marathi",5000/month,"Trello, VS Code, Docker","Remote Friendly, Field Work",Intermediate,07-12-25
INT0009,Field Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Field Operations Intern at Tata Power provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Pune,Online,5 Months,"English, Hindi",10000/month,"Git, Power BI, JIRA","Women Preferred, Remote Friendly",Beginner,01-01-26
INT0010,Renewable Energy Analyst Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Learn important skills and build a small project while working with the team. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",UG,"Ukhrul, Manipur",Hybrid,2 Months,"English, Manipuri",3000/month,"AutoCAD, Docker, Tableau","Rural Outreach, Women Preferred",Beginner,05-03-26
INT0011,Renewable Energy Analyst Intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Renewable Energy Analyst Intern at Tata Power provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,"Sivaganga, Tamil Nadu",Hybrid,3 Months,"English, Tamil",8000/month,"Tableau, Docker, Jupyter","Paid Internship, Beginner Friendly",Beginner,06-10-25
INT0012,Process Engineering Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",12th Pass,Mumbai,Offline,1 Month,English,10000/month,"Slack, Zoom, AutoCAD","Women Preferred, Beginner Friendly",Beginner,24-02-26
INT0013,Renewable Energy Analyst Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Lucknow,Offline,4 Months,"English, Hindi",15000/month,"Git, AutoCAD, Figma","Beginner Friendly, Remote Friendly",Beginner,26-12-25
INT0014,Process Engineering Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",12th Pass,Chennai,Online,1 Month,"English, Hindi",8000/month,"Figma, Tableau, Jupyter","Remote Friendly, Field Work",Advanced,04-10-25
INT0015,Field Operations Intern,"You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Lucknow,Online,4 Months,English,0/month,"Trello, Zoom, Docker","Government Scheme Aligned, Paid Internship",Intermediate,20-02-26
INT0016,Renewable Energy Analyst Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Mumbai,Online,1 Month,"English, Hindi",10000/month,"Docker, Tableau, Figma","Rural Outreach, Remote Friendly",Advanced,21-10-25
INT0017,Process Engineering Intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,"Nanded, Maharashtra",Hybrid,2 Months,"English, Marathi",10000/month,"Power BI, Git, Postman","Beginner Friendly, Paid Internship",Intermediate,22-02-26
INT0018,Field Operations Intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required. This Field Operations Intern at Reliance Industries provides hands-on learning and mentorship.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Bengaluru,Offline,3 Months,"English, Hindi",0/month,"Git, Docker, Power BI","Beginner Friendly, Remote Friendly",Beginner,07-02-26
INT0019,Field Operations Intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,"Dantewada, Chhattisgarh",Hybrid,3 Months,"English, Hindi",10000/month,"Figma, AutoCAD, Tableau","Remote Friendly, Field Work",Intermediate,16-12-25
INT0020,Renewable Energy Analyst Intern,Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Power Systems,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Hyderabad,Hybrid,3 Months,English,3000/month,"AutoCAD, Postman, Zoom","Women Preferred, Rural Outreach",Advanced,14-10-25
INT0021,Renewable Energy Analyst Intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,Bengaluru,Online,6 Months,"English, Hindi",8000/month,"Tableau, MATLAB, Trello","Remote Friendly, Women Preferred",Beginner,08-11-25
INT0022,Renewable Energy Analyst Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Kolkata,Offline,2 Months,English,15000/month,"Slack, AutoCAD, Jupyter","Field Work, Skill Development",Beginner,13-01-26
INT0023,Renewable Energy Analyst Intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Chandigarh,Offline,6 Months,"English, Hindi",15000/month,"Figma, Slack, Zoom","Rural Outreach, Skill Development",Intermediate,06-01-26
INT0024,Field Operations Intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,"Wayanad, Kerala",Online,2 Months,"English, Malayalam",0/month,"AutoCAD, Slack, Trello","Field Work, Rural Outreach",Intermediate,11-12-25
INT0025,Renewable Energy Analyst Intern,Field visits or remote tasks may be included depending on the project. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",PG,Hyderabad,Online,1 Month,"English, Hindi",10000/month,"Trello, JIRA, MATLAB","Field Work, Paid Internship",Intermediate,08-02-26
INT0026,Field Operations Intern,"Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Delhi,Offline,4 Months,English,0/month,"AutoCAD, JIRA, Power BI","Field Work, Women Preferred",Intermediate,16-12-25
