InternshipID,Title,Organisation,Description,Sector,Subsector,City,State,Mode,Duration,EducationLevel,ExperienceLevel,RequiredSkills,Stipend,Language,ToolsUsed,Tags,LastDateToApply
INT001,Software Development Intern,TechCorp India,Build and maintain web applications using React and Node.js. Work on real product features shipped to thousands of users.,IT & Software,Web Development,Bangalore,Karnataka,Hybrid,2 Months,UG,Beginner,"python, javascript, react",8000,English,"git, vscode, jira",software development,2025-08-31
INT002,Data Analytics Intern,DataMinds Pvt Ltd,Analyze large datasets to extract business insights. Create dashboards using Tableau and Python.,Analytics,Data Science,Delhi,Delhi,Online,3 Months,UG,Beginner,"python, sql, excel, tableau",6000,English,"python, tableau, sql",data analytics,2025-09-15
INT003,Machine Learning Intern,AI Solutions Ltd,Implement ML models for product recommendation and demand forecasting.,IT & Software,Artificial Intelligence,Hyderabad,Telangana,Hybrid,3 Months,UG,Intermediate,"python, machine learning, scikit-learn, tensorflow",10000,English,"python, jupyter, git",machine learning,2025-08-15
INT004,Backend Development Intern,CloudBase Technologies,Develop RESTful APIs and microservices using Python FastAPI. Deploy on AWS.,IT & Software,Backend Development,Pune,Maharashtra,Online,2 Months,UG,Beginner,"python, fastapi, docker, sql",7000,English,"python, docker, postman",backend development,2025-09-01
INT005,Marketing Analytics Intern,GrowthHacker Co,Use data to drive marketing decisions. Build performance dashboards and run A/B tests.,Marketing,Digital Marketing,Mumbai,Maharashtra,Online,2 Months,UG,Beginner,"excel, google analytics, sql",5000,English,"excel, google analytics","marketing, analytics",2025-08-20
INT006,DevOps Intern,InfraCloud India,Automate CI/CD pipelines. Manage cloud infrastructure on AWS and GCP.,IT & Software,DevOps,Bangalore,Karnataka,Hybrid,3 Months,UG,Intermediate,"linux, docker, kubernetes, aws",9000,English,"jenkins, terraform, kubernetes",devops,2025-09-10
INT007,UI/UX Design Intern,DesignLab Studio,Design user interfaces for mobile and web products. Conduct user research and usability testing.,Design,Product Design,Chennai,Tamil Nadu,Online,2 Months,UG,Beginner,"figma, adobe xd, html, css",5500,English,"figma, illustrator","design, ux",2025-08-25
INT008,Content Writing Intern,MediaHub Publications,Create blog posts and technical documentation for B2B SaaS products.,Media,Content,Remote,Remote,Online,2 Months,12th Pass,Beginner,"writing, seo, content marketing",4000,English,"wordpress, google docs",content,2025-09-30
INT009,Full Stack Development Intern,StartupXYZ,Own end-to-end feature development on a fast-growing fintech product. React frontend + Django backend.,IT & Software,Full Stack,Gurgaon,Haryana,Hybrid,3 Months,UG,Intermediate,"react, django, python, postgresql",8500,English,"git, docker, aws","full stack, fintech",2025-08-10
INT010,Cybersecurity Intern,SecureNet India,Conduct vulnerability assessments and penetration testing. Write security reports.,IT & Software,Cybersecurity,Delhi,Delhi,Offline,2 Months,UG,Beginner,"linux, networking, python",6500,English,"kali linux, wireshark, nmap","cybersecurity, security",2025-09-05
